cluster_center	other_electrode, euclidean_distance**
Fpz	Fp2,27.253944396972656	Fp1,31.346410751342773	AFz,42.14373779296875	AF4,47.708030700683594	AF8,53.468257904052734	AF3,54.53252029418945	AF7,62.28264236450195	Fz,66.18704223632812	F4,67.27577209472656	F2,70.31167602539062	F6,71.10592651367188	F1,72.30525970458984	F3,72.89533233642578	F5,75.18926239013672	F8,78.63954162597656	F7,82.35150146484375	FC4,97.0296630859375	FC6,97.8590316772461	FC2,98.94830322265625	FCz,99.56497955322266	FC3,100.8689193725586	FT8,101.63420867919922	FC1,101.72138214111328	FC5,102.2771224975586	FT7,104.67594909667969	C6,123.78411102294922	T8,123.89795684814453	C4,125.06205749511719	T7,126.76387786865234	C5,127.87206268310547	C2,127.90370178222656	Cz,129.01351928710938	C1,129.1691436767578	C3,129.7620849609375	TP8,147.46665954589844	CP6,148.03074645996094	TP7,148.25709533691406	CP5,149.63433837890625	CP4,150.04248046875	CP3,152.53326416015625	CP2,152.9679412841797	CP1,154.82521057128906	CPz,155.7265167236328	P8,162.65040588378906	P7,165.08189392089844	P6,165.38540649414062	P4,167.9585723876953	P5,167.96241760253906	P2,168.2157745361328	P1,168.9510040283203	Pz,169.9996795654297	P3,170.55181884765625	PO8,177.3673095703125	PO4,177.84117126464844	PO7,179.837158203125	PO3,180.6039276123047	POz,182.86489868164062	O1,185.38995361328125	O2,186.97442626953125	Oz,189.60374450683594	
AFz	Fz,25.688133239746094	F2,37.165775299072266	F1,39.06782150268555	Fpz,42.14373779296875	AF4,46.70558166503906	F4,47.701114654541016	AF3,49.88515090942383	Fp1,51.6973991394043	F3,51.89238739013672	Fp2,52.211692810058594	FCz,62.1655387878418	AF8,65.45909118652344	FC2,66.23238372802734	F6,66.63922119140625	F5,66.85070037841797	FC1,68.2049560546875	AF7,70.72576904296875	FC4,74.44248962402344	FC3,76.49299621582031	F8,84.03775024414062	F7,85.06471252441406	FC6,87.38618469238281	FC5,89.63652038574219	Cz,94.43965911865234	C2,96.49210357666016	C1,96.99905395507812	FT8,102.37467956542969	C4,102.46422576904297	FT7,103.2050552368164	C3,105.16612243652344	C6,111.66281127929688	C5,113.60404205322266	T8,121.96448516845703	T7,122.85128021240234	CP2,124.95957946777344	CPz,125.56306457519531	CP1,126.11222839355469	CP4,128.21475219726562	CP3,129.2096710205078	CP6,134.2364501953125	CP5,134.549560546875	TP8,142.38516235351562	TP7,142.46986389160156	P2,144.36538696289062	P1,144.5427703857422	Pz,144.8932647705078	P4,148.6735382080078	P3,150.2400665283203	P6,151.46734619140625	P5,153.3348388671875	P8,155.33111572265625	P7,156.26683044433594	PO4,162.49832153320312	POz,164.14935302734375	PO3,164.87232971191406	PO8,168.0470428466797	PO7,169.62538146972656	O1,174.66026306152344	O2,176.4084014892578	Oz,177.93252563476562	
Fz	F2,24.843788146972656	AFz,25.688133239746094	F1,27.67870330810547	FCz,37.04850387573242	FC2,45.818031311035156	F4,46.14262771606445	FC1,47.89097595214844	F3,49.33545684814453	AF4,58.455604553222656	AF3,59.980567932128906	FC4,62.59260177612305	FC3,64.405029296875	Fpz,66.18704223632812	F5,69.40935516357422	F6,69.9961166381836	Cz,70.03357696533203	Fp1,71.74270629882812	Fp2,72.61705017089844	C2,74.41189575195312	C1,75.01625061035156	AF8,78.1335678100586	AF7,82.12419128417969	FC6,82.43649291992188	FC5,84.46902465820312	C4,86.91950225830078	C3,89.14839935302734	F8,89.343017578125	F7,90.25235748291016	FT8,102.18284606933594	C6,102.36520385742188	CPz,102.76799011230469	FT7,103.06539154052734	CP2,103.61698913574219	C5,104.06776428222656	CP1,104.7405776977539	CP4,110.98097229003906	CP3,111.85911560058594	T8,117.98905181884766	T7,118.8802261352539	CP6,121.76029205322266	CP5,122.31718444824219	Pz,124.3824234008789	P2,124.62785339355469	P1,124.80289459228516	P4,131.66741943359375	P3,133.1612548828125	TP8,134.772216796875	TP7,135.47219848632812	P6,137.68170166015625	P5,139.82908630371094	P8,145.41436767578125	P7,146.1994171142578	POz,146.7800750732422	PO4,147.2163848876953	PO3,149.72694396972656	PO8,156.18914794921875	PO7,157.7174072265625	O1,161.89932250976562	O2,163.4256134033203	Oz,164.29092407226562	
FCz	FC2,28.29254150390625	FC1,32.41912078857422	Cz,33.37479782104492	Fz,37.04850387573242	F2,40.679481506347656	C2,43.35966873168945	F1,43.97728729248047	C1,46.170875549316406	FC4,56.74810791015625	FC3,60.14035415649414	F4,61.570899963378906	AFz,62.1655387878418	F3,64.26814270019531	CPz,67.67874145507812	C4,68.2243881225586	CP2,71.16065216064453	C3,71.61910247802734	CP1,73.3857650756836	FC6,82.1740493774414	AF4,83.26849365234375	F6,83.58320617675781	F5,84.12165832519531	AF3,84.42489624023438	FC5,85.71678924560547	CP4,85.73172760009766	CP3,88.22303771972656	C6,91.73616027832031	Pz,92.10352325439453	P2,93.52510070800781	P1,94.47698211669922	C5,95.01898956298828	Fpz,99.56497955322266	AF8,100.34333038330078	F8,101.31541442871094	Fp1,102.3222885131836	Fp2,102.68372344970703	CP6,103.4397964477539	F7,103.68385314941406	AF7,103.91266632080078	P4,104.82760620117188	FT8,104.95685577392578	CP5,106.21830749511719	P3,107.36653900146484	FT7,107.68279266357422	T8,113.29022979736328	P6,115.71549987792969	T7,115.91969299316406	POz,118.5897445678711	P5,119.590087890625	PO4,122.18605041503906	TP8,122.85978698730469	PO3,125.6522445678711	TP7,126.03531646728516	P8,129.00286865234375	P7,130.82798767089844	PO8,136.03224182128906	PO7,138.33644104003906	O1,140.52645874023438	Oz,141.1332550048828	O2,141.18804931640625	
Cz	C2,29.475107192993164	C1,33.0356559753418	FCz,33.37479782104492	CPz,35.56111526489258	FC2,44.20377731323242	CP2,45.131710052490234	FC1,45.66020584106445	CP1,47.555667877197266	Pz,62.672637939453125	C4,64.21040344238281	C3,65.91030883789062	P2,66.33392333984375	P1,67.5343246459961	FC4,68.95972442626953	CP4,69.12419891357422	F2,69.89936065673828	Fz,70.03357696533203	FC3,70.6556396484375	CP3,71.55107116699219	F1,71.5782699584961	P4,82.88817596435547	P3,85.37068176269531	F4,86.3765640258789	F3,86.90266418457031	C6,91.04875946044922	CP6,92.50553131103516	FC6,92.6757583618164	POz,92.84777069091797	C5,93.41259002685547	AFz,94.43965911865234	FC5,94.91422271728516	CP5,95.68367004394531	P6,98.7591552734375	PO4,100.671142578125	P5,102.99414825439453	F5,103.48006439208984	F6,103.84011840820312	PO3,104.1777572631836	AF3,109.68293762207031	AF4,109.9742202758789	FT8,114.15325164794922	T8,114.9028549194336	TP8,116.31401824951172	FT7,116.41692352294922	P8,116.95480346679688	T7,117.16460418701172	F8,118.04280853271484	P7,118.458740234375	PO8,119.07421875	F7,119.71728515625	Oz,119.94065856933594	TP7,120.12062072753906	O1,121.1002197265625	PO7,121.1924057006836	O2,121.25050354003906	AF8,124.02627563476562	AF7,125.84185028076172	Fpz,129.01351928710938	Fp1,129.8522491455078	Fp2,130.5904083251953	
CPz	Pz,29.060762405395508	CP2,29.73103141784668	CP1,32.58143615722656	Cz,35.56111526489258	P2,37.68242263793945	P1,40.088836669921875	C2,44.8868293762207	C1,47.49677276611328	CP4,59.590972900390625	P4,60.53083801269531	POz,61.989200592041016	CP3,62.524993896484375	P3,63.55245590209961	FCz,67.67874145507812	C4,71.77299499511719	FC2,72.34042358398438	C3,72.34159088134766	FC1,72.74990844726562	PO4,75.55562591552734	PO3,79.30636596679688	P6,80.65233612060547	CP6,83.85028076171875	P5,85.66852569580078	CP5,87.9250259399414	FC4,89.08451843261719	FC3,89.92720794677734	Oz,92.87945556640625	C6,94.59188842773438	O2,95.7199935913086	O1,96.45184326171875	C5,96.49378967285156	PO8,97.83396911621094	PO7,100.05694580078125	F2,100.53315734863281	F1,101.57677459716797	P8,102.36975860595703	Fz,102.76799011230469	P7,103.98284149169922	FC6,106.79187774658203	FC5,108.24759674072266	TP8,108.6030502319336	F3,112.29388427734375	F4,112.87256622314453	TP7,113.31995391845703	T8,116.45319366455078	T7,118.75603485107422	FT8,123.51924896240234	F5,124.35722351074219	F6,124.8618392944336	AFz,125.56306457519531	FT7,125.72618865966797	F8,134.1447296142578	AF3,134.7280731201172	F7,135.56503295898438	AF4,135.79544067382812	AF8,146.05662536621094	AF7,146.6097869873047	Fp1,155.07676696777344	Fpz,155.7265167236328	Fp2,155.91380310058594	
Pz	P2,23.125329971313477	P1,27.388078689575195	CPz,29.060762405395508	POz,33.57442092895508	CP2,40.21995544433594	CP1,42.17498016357422	P4,46.461524963378906	P3,50.310447692871094	PO4,53.799808502197266	PO3,57.84051513671875	CP4,60.60852813720703	Cz,62.672637939453125	CP3,63.88362503051758	Oz,66.0278091430664	C2,66.22489929199219	P6,66.35149383544922	C1,68.15960693359375	O2,70.33515167236328	P5,72.01077270507812	O1,72.01700592041016	PO8,77.05708312988281	CP6,78.6212158203125	PO7,79.5858154296875	C4,82.54313659667969	C3,82.80325317382812	CP5,83.29685974121094	P8,87.8577651977539	P7,89.78785705566406	FCz,92.10352325439453	FC2,93.78898620605469	FC1,93.94070434570312	C6,97.69712829589844	C5,99.38916778564453	TP8,99.79248809814453	FC4,104.53562927246094	TP7,105.01807403564453	FC3,105.0411605834961	T8,114.49786376953125	FC6,116.01046752929688	T7,116.86958312988281	FC5,116.99285888671875	F2,120.97273254394531	F1,121.6939468383789	Fz,124.3824234008789	FT8,126.97545623779297	F3,128.84336853027344	FT7,129.1541748046875	F4,129.9737091064453	F5,136.77212524414062	F6,137.18540954589844	F8,141.81536865234375	F7,143.0850830078125	AFz,144.8932647705078	AF3,149.30711364746094	AF4,150.78799438476562	AF7,157.1570587158203	AF8,157.47723388671875	Fp1,168.3625946044922	Fp2,169.21046447753906	Fpz,169.9996795654297	
POz	Pz,33.57442092895508	Oz,33.61543655395508	PO4,38.58894348144531	P2,39.87730407714844	PO3,40.188209533691406	P1,41.43965530395508	O2,41.600738525390625	O1,43.92567825317383	P4,48.22776794433594	P3,50.035037994384766	PO8,56.99129867553711	PO7,58.26280212402344	P6,59.97770690917969	CPz,61.989200592041016	P5,63.522613525390625	CP2,66.58982849121094	CP1,66.66818237304688	CP4,74.46160125732422	CP3,75.88407135009766	P8,75.98234558105469	P7,76.51380920410156	CP6,81.13593292236328	CP5,84.01144409179688	Cz,92.84777069091797	C2,93.35079956054688	TP8,93.79973602294922	C1,94.06381225585938	TP7,97.40047454833984	C3,99.16865539550781	C4,100.31883239746094	C5,105.77473449707031	C6,105.88045501708984	T8,114.69552612304688	T7,115.54058074951172	FC1,117.6420669555664	FC2,118.18441009521484	FCz,118.5897445678711	FC3,122.69369506835938	FC4,123.42279052734375	FC5,127.34808349609375	FC6,128.05589294433594	FT8,131.79339599609375	FT7,132.59646606445312	F2,142.6758270263672	F1,142.69190979003906	F3,146.03538513183594	Fz,146.7800750732422	F4,148.27882385253906	F5,149.2996826171875	F8,149.84580993652344	F7,149.92958068847656	F6,150.44361877441406	AF3,163.34645080566406	AFz,164.14935302734375	AF4,165.7594451904297	AF7,166.49330139160156	AF8,168.40731811523438	Fp1,180.11961364746094	Fp2,181.31695556640625	Fpz,182.86489868164062	
Oz	O2,20.26797866821289	O1,26.539525985717773	POz,33.61543655395508	PO4,43.62488555908203	PO8,45.268550872802734	PO3,45.311927795410156	PO7,48.52553176879883	P6,64.30610656738281	P4,64.4854507446289	Pz,66.0278091430664	P3,67.49810791015625	P2,67.54922485351562	P5,68.56613159179688	P8,69.13156127929688	P1,69.41944885253906	P7,71.7186508178711	CP6,88.30442810058594	TP8,89.81755065917969	CP5,92.4002914428711	CP4,92.60289001464844	CPz,92.87945556640625	CP2,93.7024917602539	TP7,94.36932373046875	CP1,94.50506591796875	CP3,95.37459564208984	T8,113.84468841552734	C6,113.96134185791016	C5,115.1768798828125	T7,115.92988586425781	C4,117.38859558105469	C3,117.73849487304688	C2,117.97227478027344	C1,119.12464141845703	Cz,119.94065856933594	FT8,133.59629821777344	FT7,135.3596954345703	FC6,137.1455841064453	FC5,137.23789978027344	FC2,138.71519470214844	FC1,138.7368927001953	FC4,138.9671630859375	FC3,139.08444213867188	FCz,141.1332550048828	F8,153.3174591064453	F7,154.11729431152344	F5,158.86122131347656	F6,158.94529724121094	F2,159.4801788330078	F1,159.6599578857422	F3,159.8335723876953	F4,161.6357421875	Fz,164.29092407226562	AF7,171.71630859375	AF3,173.05882263183594	AF8,173.64291381835938	AF4,175.06533813476562	AFz,177.93252563476562	Fp1,186.38406372070312	Fp2,187.1720428466797	Fpz,189.60374450683594	
Fp1	AF3,30.81997299194336	Fpz,31.346410751342773	AF7,33.10978317260742	F5,51.07680130004883	AFz,51.6973991394043	F3,55.97196578979492	F7,56.18061828613281	Fp2,57.41730499267578	F1,65.29692840576172	Fz,71.74270629882812	AF4,74.50577545166016	FC5,80.56280517578125	AF8,80.78665924072266	FT7,81.19863891601562	F2,84.26512908935547	FC3,85.02738952636719	F4,88.13168334960938	FC1,94.33663177490234	F6,95.11361694335938	F8,101.58606719970703	FCz,102.3222885131836	T7,105.92328643798828	C5,108.58495330810547	FC2,109.3602066040039	FC4,113.73292541503906	C3,115.0418701171875	FC6,117.51704406738281	FT8,120.82901763916016	C1,121.98342895507812	Cz,129.8522491455078	TP7,130.4208526611328	CP5,133.23483276367188	C2,135.1976318359375	C4,138.52072143554688	C6,139.46800231933594	T8,139.54150390625	CP3,139.56373596191406	CP1,147.62245178222656	P7,150.5337371826172	P5,154.6113739013672	CPz,155.07676696777344	CP2,158.0030975341797	TP8,159.06700134277344	CP6,159.29884338378906	CP4,159.61965942382812	P3,159.97630310058594	P1,162.27996826171875	Pz,168.3625946044922	PO7,168.77394104003906	P2,170.70404052734375	P8,170.80587768554688	PO3,171.1574249267578	P6,172.6588897705078	P4,173.53240966796875	O1,177.87762451171875	POz,180.11961364746094	PO4,181.2748565673828	PO8,181.59088134765625	Oz,186.38406372070312	O2,187.02774047851562	
AF3	F5,23.42644500732422	AF7,24.838184356689453	F3,26.830156326293945	Fp1,30.81997299194336	F7,40.297367095947266	F1,42.831207275390625	AFz,49.88515090942383	FC5,54.21745681762695	Fpz,54.53252029418945	FC3,56.18218994140625	Fz,59.980567932128906	FT7,63.03888702392578	FC1,69.08737182617188	Fp2,77.9660873413086	F2,78.83628845214844	C5,83.77269744873047	FCz,84.42489624023438	AF4,85.67550659179688	C3,87.45093536376953	T7,87.56025695800781	F4,90.2151870727539	AF8,96.37107849121094	C1,96.63687896728516	FC2,98.50080108642578	F6,102.99665832519531	Cz,109.68293762207031	CP5,110.07515716552734	FC4,110.25495147705078	TP7,112.51238250732422	F8,112.51945495605469	CP3,113.97711181640625	FC6,119.96240234375	C2,120.848876953125	CP1,123.35861206054688	FT8,127.56600952148438	C4,131.64532470703125	P7,132.48977661132812	P5,133.6792755126953	CPz,134.7280731201172	P3,137.53964233398438	C6,138.1689910888672	P1,140.25865173339844	CP2,142.5108184814453	T8,142.8150177001953	Pz,149.30711364746094	CP4,149.76370239257812	PO7,151.83006286621094	PO3,151.92124938964844	CP6,154.0654754638672	P2,154.9593505859375	TP8,158.22171020507812	P4,161.87322998046875	O1,162.63441467285156	POz,163.34645080566406	P6,164.6488800048828	P8,166.66574096679688	PO4,170.06423950195312	Oz,173.05882263183594	PO8,173.97145080566406	O2,176.23178100585938	
AF7	F7,24.642784118652344	AF3,24.838184356689453	F5,28.100116729736328	Fp1,33.10978317260742	F3,45.78160858154297	FT7,50.903751373291016	FC5,54.10849380493164	Fpz,62.28264236450195	F1,65.09339904785156	FC3,67.82703399658203	AFz,70.72576904296875	T7,77.03997039794922	C5,82.05670166015625	Fz,82.12419128417969	Fp2,85.58883666992188	FC1,86.52587127685547	C3,94.86361694335938	F2,98.19270324707031	AF4,98.31559753417969	TP7,103.44114685058594	FCz,103.91266632080078	AF8,104.14196014404297	F4,106.18955993652344	CP5,108.06095886230469	C1,110.34623718261719	F6,114.11257934570312	FC2,116.38892364501953	CP3,118.74230194091797	F8,118.89253234863281	FC4,125.08282470703125	Cz,125.84185028076172	P7,125.96267700195312	FC6,130.45603942871094	P5,131.3105010986328	FT8,132.87991333007812	CP1,132.93084716796875	C2,136.44691467285156	P3,139.7315673828125	C4,144.5148468017578	P1,146.30279541015625	CPz,146.6097869873047	T8,146.7263946533203	C6,146.80029296875	PO7,146.9534149169922	PO3,151.0435028076172	CP2,154.71017456054688	Pz,157.1570587158203	O1,159.20657348632812	CP4,160.09609985351562	CP6,160.90452575683594	TP8,160.93414306640625	P2,163.400634765625	POz,166.49330139160156	P8,168.4761962890625	P4,168.79910278320312	P6,169.40162658691406	Oz,171.71630859375	PO4,173.70477294921875	PO8,174.70314025878906	O2,175.6456756591797	
F1	F3,23.67706298828125	Fz,27.67870330810547	FC1,32.88875198364258	AFz,39.06782150268555	FC3,39.68224334716797	AF3,42.831207275390625	FCz,43.97728729248047	F5,46.078460693359375	F2,50.677024841308594	FC5,59.820274353027344	FC2,63.50586700439453	C1,63.734378814697266	AF7,65.09339904785156	Fp1,65.29692840576172	C3,68.88278198242188	F7,69.63326263427734	F4,70.56609344482422	Cz,71.5782699584961	Fpz,72.30525970458984	AF4,79.18241882324219	FT7,81.37437438964844	C5,81.80327606201172	FC4,83.47526550292969	C2,84.90326690673828	Fp2,86.40235137939453	F6,91.20993041992188	CP1,94.82548522949219	CP3,95.25972747802734	AF8,96.04143524169922	T7,98.18663787841797	CPz,101.57677459716797	FC6,101.8741226196289	C4,102.80818176269531	CP5,103.37673950195312	F8,106.93981170654297	CP2,109.60670471191406	P1,116.05094146728516	TP7,116.97991180419922	C6,117.8849105834961	FT8,118.10543060302734	P3,120.19300079345703	CP4,121.43817138671875	Pz,121.6939468383789	P5,124.46368408203125	P2,126.79497528076172	P7,130.37693786621094	T8,131.26315307617188	CP6,132.64231872558594	P4,136.9091796875	PO3,138.48484802246094	POz,142.69190979003906	P6,144.16395568847656	TP8,144.61314392089844	PO7,145.23974609375	PO4,149.67665100097656	P8,152.06878662109375	O1,152.94224548339844	PO8,159.02525329589844	Oz,159.6599578857422	O2,162.09437561035156	
F3	F5,23.14246368408203	F1,23.67706298828125	AF3,26.830156326293945	FC3,31.657909393310547	FC5,41.49627685546875	FC1,43.5895881652832	AF7,45.78160858154297	F7,48.198638916015625	Fz,49.33545684814453	AFz,51.89238739013672	Fp1,55.97196578979492	FT7,61.626155853271484	FCz,64.26814270019531	C3,64.28348541259766	C5,68.54335021972656	F2,70.90974426269531	C1,71.25988006591797	Fpz,72.89533233642578	T7,81.49847412109375	FC2,83.7347412109375	Cz,86.90266418457031	F4,87.66382598876953	AF4,91.31256103515625	Fp2,91.89078521728516	CP3,92.2167739868164	CP5,93.92510986328125	CP1,99.58967590332031	FC4,101.38188171386719	C2,102.31280517578125	TP7,103.65958404541016	F6,104.53797149658203	AF8,104.95246124267578	CPz,112.29388427734375	FC6,116.08946990966797	F8,116.6417465209961	P5,117.80365753173828	P3,118.06098175048828	P1,118.95533752441406	C4,119.19702911376953	P7,120.8032455444336	CP2,123.21192169189453	FT8,127.86882019042969	Pz,128.84336853027344	C6,130.85838317871094	CP4,134.97593688964844	PO3,135.48199462890625	P2,136.3629913330078	PO7,138.98880004882812	T8,140.1871337890625	CP6,143.6685791015625	POz,146.03538513183594	P4,146.5123291015625	O1,149.59982299804688	TP8,152.3424530029297	P6,152.60731506347656	PO4,156.05982971191406	P8,158.4558563232422	Oz,159.8335723876953	PO8,163.5451202392578	O2,164.19163513183594	
F5	F3,23.14246368408203	AF3,23.42644500732422	F7,25.828325271606445	AF7,28.100116729736328	FC5,31.32318687438965	FC3,40.3182373046875	FT7,42.94291687011719	F1,46.078460693359375	Fp1,51.07680130004883	C5,61.465065002441406	FC1,61.61227035522461	T7,66.63365173339844	AFz,66.85070037841797	C3,68.7762451171875	Fz,69.40935516357422	Fpz,75.18926239013672	FCz,84.12165832519531	C1,84.6310043334961	F2,88.5587387084961	CP5,88.75518798828125	TP7,91.91419219970703	CP3,94.83753967285156	Fp2,96.35270690917969	AF4,101.269775390625	FC2,101.52169036865234	F4,101.83048248291016	Cz,103.48006439208984	CP1,108.46797943115234	AF8,111.05375671386719	P7,112.58089447021484	P5,113.65514373779297	F6,114.44060516357422	FC4,115.87464141845703	C2,118.35865020751953	P3,118.94254302978516	F8,122.54513549804688	CPz,124.35722351074219	P1,124.37865447998047	FC6,126.40766906738281	C4,132.45425415039062	PO7,133.30796813964844	FT8,133.4473876953125	PO3,133.79600524902344	CP2,135.94334411621094	Pz,136.77212524414062	C6,139.985595703125	T8,144.86236572265625	P2,145.2646484375	O1,145.98947143554688	CP4,145.9954376220703	POz,149.2996826171875	CP6,151.32601928710938	P4,154.15234375	TP8,156.10162353515625	P6,158.24270629882812	Oz,158.86122131347656	PO4,160.4426727294922	P8,161.3462371826172	O2,164.3226318359375	PO8,165.25621032714844	
